"
Give Me Love Lyrics
",http://www.metrolyrics.com/give-me-love-lyrics-ed-sheeran.html," Give me love like her, 'Cause lately I've been waking up alone, Paint splattered teardrops on my shirt, Told you I'd let them go, And that I'll fight my corner, Maybe tonight I'll call ya, After my blood turns into alcohol, No, I just wanna hold ya Give a little time to me or burn this out, We'll play hide and seek to turn this around, All I want is the taste that your lips allow, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, give me love Give me love like never before, 'Cause lately I've been craving more, And it's been a while but I still feel the same, Maybe I should let you go, You know I'll fight my corner, And that tonight I'll call ya, After my blood is drowning in alcohol, No I just wanna hold ya Give a little time to me or burn this out, We'll play hide and seek to turn this around, All I want is the taste that your lips allow, My, my, my, my, oh give me love, Give a little time to me, or burn this out, We'll play hide and seek to turn this around, All I want is the taste that your lips allow, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My my, my, my, oh give me love M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover, M-my my, m-my my, m-my my, give me love, lover (love me, love me, love me) M-my my, m-my my, m-my my, give me love, lover (give me love), M-my my, m-my my, m-my my, give me love, lover (give me love), M-my my, m-my my, m-my my, give me love, lover (give me love, love me), M-my my, m-my my, m-my my, give me love, lover (give me love) My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love, My, my, my, my, oh give me love"
"
Perfect Duet Lyrics
",http://www.metrolyrics.com/perfect-duet-lyrics-ed-sheeran.html," I found a love, For me, Oh darling, just dive right in, And follow my lead, Well, I found a girl, Beautiful and sweet, Oh, I never knew you were the someone, Waitin' for me, 'Cause we were just kids when we fell in love, Not knowin' what it was, I will not give you up this time, But darling, just kiss me slow, Your heart is all I own, And in your eyes, you're holding mine Baby, I'm dancing in the dark, With you between my arms, Barefoot on the grass, Listening to our favourite song, When you said you looked a mess, I whispered underneath my breath, But you heard it, Darling, you look perfect tonight Well, I found a man, Stronger than anyone I know, He shares my dreams, I hope that someday we'll share a home, I found a love, To carry more than just my secrets, To carry love, to carry children, Of our own, We are still kids, but we're so in love, Fightin' against all odds, I know we'll be alright this time, Darling, just hold my hand, Be your girl, you'll be my man, And I see my future in your eyes Well baby, I'm dancing in the dark, With you between my arms, Barefoot on the grass, While listening to our favorite song, When I saw you in that dress, Looking so beautiful, I don't deserve this, Darling, you look perfect tonight [Instrumental] Baby, I'm dancing in the dark, With you between my arms, Barefoot on the grass, While listenin' to our favorite song, I have faith in what I see, Now I know I have met an angel, In person, And she looks perfect, And he looks perfect, No I don't deserve this, You look perfect tonight"
"
Don't Lyrics
",http://www.metrolyrics.com/dont-lyrics-ed-sheeran.html," La, la, la, la I met this girl late last year, She said don't you worry if I disappear, I told her I'm not really looking for another mistake, I called an old friend thinking that the trouble would wait But then I jumped right in a week later returned, I reckon she was only looking for a lover to burn, But I gave her my time for two or three nights, Then I put it on pause until the moment was right I went away for months until our paths crossed again, She told me I was never looking for a friend, Maybe you could swing by my room around ten, Baby, bring the lemon & a bottle of gin, We'll be in between the sheets till the late AM, Baby if you wanted me then you should have just said, She's singing..., la, la, la, la, Don't with my love, That heart is so cold, All over my own, I don't wanna know that, babe la, la, la Don't with my love, I told her, she knows, Take aim & reload, I don't wanna know that, babe la, la, la For a couple of weeks I only want to see her, We drink away the days with a take away pizza, Before a text message was the only way to reach her, Now she's staying at my place & loves the way I treat her Singing out Aretha, all over the track like a feature, And never wants to sleep I guess that I don't want to either, But me & her we make money the same way, Four cities, two planes the same day And those shows have never been what it's about, Maybe we'll go together & just figure it out, I'd rather put on a film with you & sit on the couch, But we should get on the plane or we'll be missing it now Wish I'd have written it down, the way that things played out, When she was kissing him how I was confused about, She should figure it out why I'm sat here singing Don't with my love, That heart is so cold, All over my own, I don't wanna know that, babe, Don't with my love, I told her, she knows, Take aim & reload, I don't wanna know that, babe On my hotel door!, I don't even know if she knows what for, She was crying on my shoulder, I already told you, Trust & respect is what we do this for I never intended to be next, But you didn't need to take him to bed, that's all, And I never saw him as a threat, Until you disappeared with him to have sex of course It's not like we were both on tour, We were staying on the same hotel floor, And I wasn't looking for a promise or commitment, But it was never just fun & I thought you were different This is not the way you realize what you wanted, It's a bit too much, too late if I'm honest, And all this time God knows I'm singing Don't with my love, That heart is so cold, All over my own, I don't wanna know that, babe, Don't with my love, I told her, she knows, Take aim & reload, I don't wanna know that, babe Don't with my love, That heart is so cold, All over my own, I don't wanna know that babe, Don't with my love, I told her, she knows, Take aim & reload, I don't wanna know that, babe"
"
All Of The Stars Lyrics
",http://www.metrolyrics.com/all-of-the-stars-lyrics-ed-sheeran.html," It's just another night, And I'm staring at the moon, I saw a shooting star, And thought of you, I sang a lullaby, By the waterside and knew, If you were here, I'd sing to you You're on the other side, As the skyline splits in two, I'm miles away from seeing you I can see the stars, From America?, I wonder, do you see them, too? So open your eyes and see, The way our horizons meet, And all of the lights will lead, Into the night with me, And I know these scars will bleed, But both of our hearts believe, All of these stars will guide us home I can hear your heart, On the radio beat, They're playing 'Chasing Cars', And I thought of us, Back to the time, You were lying next to me, I looked across and fell in love So I took your hand, Back through lamplit streets and knew, Everything led back to you So can you see the stars, Over Amsterdam?, You're the song my heart is beating to So open your eyes and see, The way our horizons meet, And all of the lights will lead, Into the night with me, And I know these scars will bleed, But both of our hearts believe, All of these stars will guide us home And oh, And oh, And oh I can see the stars, From America"
"
Perfect Symphony Lyrics
",http://www.metrolyrics.com/perfect-symphony-lyrics-ed-sheeran.html," I found a love for me, Oh darling, just dive right in and follow my lead, Well, I found a girl, beautiful and sweet, Oh, I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love, Not knowing what it was, I will not give you up this time, But darling, just kiss me slow, your heart is all I own, And in your eyes, you're holding mine Baby, I'm dancing in the dark with you between my arms, Barefoot on the grass, listening to our favourite song, When you said you looked a mess, I whispered underneath my breath, But you heard it, darling, you look perfect tonight Sei la mia donna, la forza delle onde del mare, Cogli i miei sogni e i miei segreti e molto di piu, Spero che un giorno, l'amore che ci ha accompagnato, Diventi casa, la mia famiglia, diventi noi E siamo sempre bambini ma nulla e impossibile, Stavolta non ti lascero, Mi baci piano ed io torno ad esistere, E nel tuo sguardo crescero Ballo con te, nell'oscurita, stretti forte poi, A piedi nudi noi, dentro la nostra musica, Ti ho guardato ridere e sussurrando ho detto:, ""Tu stasera, vedi, sei perfetta per me"" Ballo con te, nell'oscurita, stretti forte poi, A piedi nudi noi, dentro la nostra musica, Ho creduto sempre in noi, Perche sei un angelo e io ti ho aspettato Quanto ti ho aspettato, Perche tu stasera sei perfetta per me"
"
Kiss Me Lyrics
",http://www.metrolyrics.com/kiss-me-lyrics-ed-sheeran.html," Settle down with me, Cover me up, Cuddle me in Lie down with me, yeah, And hold me in your arms And your heart's against my chest, Your lips pressed to my neck, I'm falling for your eyes, But they don't know me yet And with a feeling I'll forget, I'm in love now Kiss me like you wanna be loved, You wanna be loved, You wanna be loved, This feels like falling in love, Falling in love, Falling in love Settle down with me, And I'll be your safety, You'll be my lady I was made to keep your body warm, But I'm cold as the wind blows so hold me in your arms My heart's against your chest, Your lips pressed to my neck, I'm falling for your eyes, But they don't know me yet And with this feeling I'll forget,, I'm in love now Kiss me like you wanna be loved, You wanna be loved, You wanna be loved, This feels like falling in love, Falling in love, Falling in love Yeah I've been feeling everything, From hate to love, From love to lust, From lust to truth, I guess that's how I know you, So I hold you close to help you give it up So kiss me like you wanna be loved, You wanna be loved, You wanna be loved, This feels like falling in love, Falling in love, Falling in love Kiss me like you wanna be loved, You wanna be loved, You wanna be loved, This feels like falling in love, Falling in love, Falling in love"
"
Dive Lyrics
",http://www.metrolyrics.com/dive-lyrics-ed-sheeran.html," Oh, maybe I came on too strong, Maybe I waited too long, Maybe I played my cards wrong, Oh, just a little bit wrong, Baby I apologize for it I could fall or I could fly, Here in your aeroplane, And I could live, I could die, Hanging on the words you say, And I've been known to give my all, And jumping in harder than, Ten thousand rocks on the lake So don't call me baby, Unless you mean it, Don't tell me you need me, If you don't believe it, So let me know the truth, Before I dive right into you You're a mystery, I have traveled the world, there's no other girl like you, No one, what's your history?, Do you have a tendency to lead some people on?, 'Cause I heard you do, mmh I could fall or I could fly, Here in your aeroplane, And I could live, I could die, Hanging on the words you say, And I've been known to give my all, And lie awake, every day, Don't know how much I can take So don't call me baby, Unless you mean it, Don't tell me you need me, If you don't believe it, So let me know the truth, Before I dive right into you I could fall or I could fly, Here in your aeroplane, And I could live, I could die, Hanging on the words you say, And I've been known to give my all, Sitting back, looking at, Every mess that I made So don't call me baby, Unless you mean it, Don't tell me you need me, If you don't believe it, So let me know the truth, Before I dive right into you, Before I dive right into you, Before I dive right into you"
"
You Need Me, I Don't Need You Lyrics
",http://www.metrolyrics.com/you-need-me-i-dont-need-you-lyrics-ed-sheeran.html," Now I'm in town, break it down, thinking of making a new sound, Playing a different show every night in front of a new crowd, That's you now, ciao, seems that life is great now, See me lose focus, as I sing to you loud And I can't, no, I won't hush, I say the words that make you blush, I'm gonna sing this now See, I'm true, my songs are where my heart is, I'm like glue, I stick to other artists, I'm not you, now that would be disastrous, Let me sing and do my thing and move to greener pastures See, I'm real, I do it all, it's all me, I'm not fake, don't ever call me lazy, I won't stay put, give me the chance to be free, Suffolk sadly seems to sort of suffocate me 'Cause you need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me, man, I don't need you You need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me I sing and write my own tune and I write my own verse, Hell, don't need another word-smith to make my tune sell, Call yourself a singer-writer, you're just bluffing, Name's on the credits and you didn't write nothing I sing fast, I know that all my shit's cool, I will blast and I didn't go to Brit School, I came fast with the way I act, right, I can't last if I'm smoking on a crack pipe And I won't be a product of my genre, My mind will always be stronger than my songs are, Never believe the bullshit that fake guys feed to ya, Always read the stories that you hear on Wikipedia And musically I'm demonstrating, When I perform live, feels like I am meditating, Times at the Enterprise when some fella filmed me, 'Young singer-writer like Gabriella Cilmi' 'Cause you need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me, man, I don't need you You need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me 'Cause with the lyrics I'll be aiming it right, I won't stop till my name's in lights, At stadium heights with Damien Rice, On red carpets, now I'm on Arabian Nights, Because I'm young I know my brother's gonna give me advice Long nighter, short height and I going hyper, Never be anything but a singer-songwriter, yeah, The game's over but now I'm on a new level, Watch how I step on the track without a loop pedal People think that I'm bound to blow up, I've done around about a thousand shows, But I haven't got a house plus I live on a couch, So you believe the lyrics when I'm singing them out From day one, I've been prepared, With vo5 wax for my ginger hair, So now I'm back to the sofa, giving a dose of what the future holds, 'Cause it's another day Plus I'll keep my last name forever, keep this genre pretty basic, Gonna be breaking into other people's tunes when I chase it, And replace it with the elephant in the room with a facelift, Into another rapper's shoes using new laces I'm selling CDs from my rucksack aiming for the papers, Selling CDs from my rucksack aiming for majors, Nationwide tour with Just Jack, still had to get the bus back, Clean cut kid without a razor for the mustache I hit back when the pen hurts me, I'm still a choir boy in a Fenchurch tee, I'm still the same as a year ago, But more people hear me though, According to the MySpace and YouTube videos I'm always doing shows, if I'm not, I'm in the studio, Truly broke, never growing up, call me Rufio, Melody music maker, Reading all the papers, They say I'm up.and-coming like I'm fucking in an elevator 'Cause you need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me, man, I don't need you You need me, man, I don't need you, You need me, man, I don't need you, You need me, man, I don't need you at all, You need me, man, I don't need you"
"
Lego House Lyrics
",http://www.metrolyrics.com/lego-house-lyrics-ed-sheeran.html," I'm gonna pick up the pieces, And build a Lego house, If things go wrong we can knock it down My three words have two meanings, There's one thing on my mind, It's all for you And it's dark in a cold December,, But I've got you to keep me warm, If you're broken I will mend you, And keep you sheltered from the storm that's raging on now I'm out of touch, I'm out of love, I'll pick you up when you're getting down, And out of all these things I've done, I think I love you better now I'm out of sight, I'm out of mind, I'll do it all for you in time, And out of all these things I've done, I think I love you better now, now I'm gonna paint you by numbers, And color you in, If things go right we can frame it, And put you on a wall And it's so hard to say it, But I've been here before, Now I'll surrender up my heart, And swap it for yours I'm out of touch, I'm out of love, I'll pick you up when you're getting down, And out of all these things I've done, I think I love you better now I'm out of sight, I'm out of mind, I'll do it all for you in time, And out of all these things I've done, I think I love you better now Don't hold me down, I think the braces are breaking,, And it's more than I can take And it's dark in a cold December,, But I've got you to keep me warm, If you're broken I will mend you, And keep you sheltered from the storm that's raging on now I'm out of touch, I'm out of love, I'll pick you up when you're getting down, And out of all these things I've done, I think I love you better now I'm out of sight, I'm out of mind, I'll do it all for you in time, And out of all these things I've done, I think I love you better now I'm out of touch, I'm out of love, I'll pick you up when you're getting down, And out of all these things I've done, I will love you better now"
"
Tenerife Sea Lyrics
",http://www.metrolyrics.com/tenerife-sea-lyrics-ed-sheeran.html," You look so wonderful in your dress, I love your hair like that, The way it falls on the side of your neck, Down your shoulders and back, We are surrounded by all of these lies and people that talk too much, You got the kind of look in your eyes as if no one knows anything but us Should this be the last thing I see, I want you to know it's enough for me, 'cause all that you are is all that I'll ever need So in love, So in love, So in love, So in love You look so beautiful in this light, You silhouette over me, The way it brings out the blue in your eyes is the Tenerife Sea, And all of the voices surrounding us here they just fade out when you take a breath, Just say the word and I will disappear into the wilderness, Should this be the last thing I see I want you to know it's enough for me, 'cause all that you are is all that I'll ever need, So in love So in love, So in love, So in love, Lumiere, darling Lumiere over me, Lumiere, darling, Lumiere over me, Lumiere, darling, Lumiere over me, Should this be the last thing I see I want you to know it's enough for me, 'cause all that you are is all that I'll ever need, So in love, So in love, So in love (love, love, love), So in love, You looked so wonderful in your dress, I loved your hair like that, And in the moment I knew you Beth"
